bank,בַּנְק
convenience store,מַכֹּלֶת
pharmacy,בֵּית מִרְקַחַת
clinic,מִרְפָּאָה
hospital,בֵּית חוֹלִים
supermarket,סוּפֶּרְמַרְקֶט
postoffice,דֹּאַר
cafe,בֵּית קָפֶה
restaurant,מִסְעָדָה
shopping center,קַנְיוֹן
bazaar,שׁוּק
train station,תַּחֲנָה רַכֶּבֶת
bus stop,תַּחֲנָה אוֹטוֹבּוּס
central station,תַּחֲנָה מֶרְכָּזִית
movie theater,בֵּית קוֹלְנוֹעַ
museum,מוּזֵאוֹן
hotel,מָלוֹן
garden,גַּן
school,בֵּית סֵפֶר
library,סִפְרִיָּה
drama theater,תֵּאַטְרוֹן
clothing store,חֲנוּת בְּגָדִים
electric appliance store,חֲנוּת מוּצְרֵי חַשְׁמַל
factory,מִפְעָל
port,נָמֵל
ministry of interior,מִשְׂרַד הַפְּנִים
city hall,עִירִיָּה
