to do (professionally),לַעֲסֹק
(he) does (professionally),עוֹסֵק
to do,לַעֲשׂוֹת
(he) does,עוֹשֶׂה
to laugh,לִצְחֹק
(he) laughs,צוֹחֵק
to drive,לִנְהֹג
(he) drives,נוֹהֵג
to speak,לְדַבֵּר
(he) speaks,מְדַבֵּר
to drink,לִשְׁתּוֹת
(he) drinks,שׁוֹתֶה
to visit,לְבַקֵּר
(he) visits,מְבַקֵּר
to think,לַחְשֹׁב
(he) thinks,חוֹשֵׁב
to run,לָרוּץ
(he) runs,רָץ
to cry,לִבְכּוֹת
(he) cries,בּוֹכֶה
to pay,לְשַׁלֵּם
(he) pays,מְשַׁלֵּם
to buy,לִקְנוֹת
(he) buys,קוֹנֶה
to take,לָקַחַת
(he) takes,לוֹקֵחַ
to sleep,לִישֹׁן
(he) sleeps,יָשֵׁן
to read,לִקְרֹא
(he) reads,קוֹרֵא
to steal,לִגְנֹב
(he) steals,גּוֹנֵב
to understand,לְהָבִין
(he) understands,מֵבִין
to wear,לִלְבֹּשׁ
(he) wears,לוֹבֵשׁ
to brush (hair),לְהַבְרִישׁ
(he) brushes (hair),מַבְרִישׁ
to polish/brush,לְצַחְצֵחַ
(he) polishes (brushes),מְצַחְצֵחַ
to guess,לְנַחֵשׁ
(he) guesses,מְנַחֵשׁ
