life	חַיִּים
street	רְחוֹב
question	שְׁאֵלָה
song	שִׁיר
game	מִשְׂחָק
tour	סִיּוּר
meeting	מִפְגָּשׁ
food	אֹכֶל
beverage	שְׁתִיָּה

beginners	מַתְחִילִים/מַתְחִילוֹת
wisdom	חָכְמָה
idea	רַעְיוֹן
tool/tools	כְּלִי/כֵּלִים
useful	שִׁמּוּשִׁי
daily	יוֹמְיוֹמִי
through	דֶּרֶךְ
learning	לְמִידָה
spoken language	שָׂפָה מְדֻּבֶּרֶת
in addition	בְּנוֹסָף
aspect	הֶבֵּט
different	שׁוֹנֶה
society	חֶבְרָה
culture	תַּרְבּוּת
ethical	עֶרְכִּי
critical	בִּקָּרְתִּי
by means of	בְּאֶמְצָעוּת
discussion	דִּיּוּן
length	אֹרֶךְ

introduction	הֶכֵּרוּת
coordination	תֵּאוּם
expectation	צִפִּיָּה
transport	תַּחְבּוּרָה
public	צִבּוּרִי
direction/directions	כִּוּוּן/כִּוּוּנִים
recreation	בִּלּוּי
world	עוֹלָם
right/rights	זְכוּת/זְכֻיּוֹת
curse	קְלָלָה
compliment	מַחְמָאָה
(grammar) masculine	זָכָר
(grammar) feminine	נְקֵבָה
bravery	גְּבוּרָה
custom	מִנְהָג
festival	חַג
issue	סוּגְיָה
social	חֶבְרָתִי
young guy/lady	בָּחוּר/בַּחוּרָה
superstition	אֱמוּנָה תְּפֵלָה
summary	סִכּוּם
farewell	פְּרֵדָה

to provide	לְהַעֲנִיק
I provided	הֶעֱנַקְתִּי
(he) provides	מַעֲנִיק

to focus on	לְהִתְמַקֵּד
I focused on	הִתְמַקַּדְתִּי
(he) focuses on	מִתְמַקֵּד
I will focus on	אֶתְמַקֵּד
We will focus on	נִתְמַקֵּד

to ask	לִשְׁאֹל
I asked	שָׁאַלְתִּי
(he) asks	שׁוֹאֵל
we will ask	נִשְׁאַל

to be made of	לְהֵעָשׂוֹת
be made of [M/F-sing]	נַעֲשֶׂה/נַעֲשֵׂית

to exist	לְהִתְקַיֵּם
(he) exists	מִתְקַיֵּם
(he) will exist	יִתְקַיֵּם
(m-pl) will exist	 יִתְקַיְּמוּ

to start	לְהַתְחִיל
I started	הִתְחַלְתִּי
(he) starts	מַתְחִיל

on	עַל
on:pl-3-m	עֲלֵיהֶם
