downtown	עיר תחתית

foot[s/du]	כַּף רֶגֶל/כַּפּוֹת רַגְלַיִם
leg [s/du/pl]	רֶגֶל/רַגְלַיִם/רְגָלִים
dog/dogs	כֶּלֶב/כְּלָבִים
judgement	שְׁפִיטָה
judgemental	שִׁפּוּטִי
yellow line	פַּס צָהֹב
strip/stripe	פַּס
column & row	עַמּוּדָה & שׁוּרָה

to understand	לְהָבִין
I understood	הֵבַנְתִּי/הֲבִינוֹתִי
(he) understands	מֵבִין

to stay	לְהִשָּׁאֵר
I stayed	נִשְׁאַרְתִּי
(he) stays	נִשְׁאָר
verb	פֹּעַל

to meet (acquainted with)	לְהַכִּיר
I met (acquainted with)	הִכַּרְתִּי
(he) meets (acquainted with)	מַכִּיר

(we) will start	נַתְחִיל

right	יָמִין
left	שְׂמֹאל
north	צָפוֹן
south	דָּרוֹם
east	מִזְרָח
west	מַעֲרָב
upward	לְמַעְלָה
downward	לְמַטָּה
straight	יָשָׁר

instruction	הוֹרָאָה

to turn	לִפְנוֹת
I turned	פָּנִיתִי
(he) turns	פּוֹנֶה

to drive	לִנְסֹעַ
I drove	נָסַעְתִּי
(he) drives	נוֹסֵעַ

to go up	לַעֲלוֹת
I went up	עָלִיתִי
(he) goes up	עוֹלֶה

to go down	לָרֶדֶת
I went down	יָרַדְתִּי
(he) goes down	יוֹרֵד

to continue	לְהַמְשִׁיךְ
I continued	הִמְשַׁכְתִּי
(he) continues	מַמְשִׁיךְ

to walk	לָלֶכֶת
I walked	הָלַכְתִּי
(he) walks	הוֹלֵךְ

to cross	לַחְצוֹת/לַחֲצוֹת
I crossed	חָצִיתִי
(he) crosses	חוֹצֶה

to stop	לַעֲצֹר
I stopped	עָצַרְתִּי
(he) stops	עוֹצֵר

to arrive	לְהַגִּיעַ
I arrived	הִגַּעְתִּי
(he) arrives	מַגִּיעַ

to turn around	לְהִסְתּוֹבֵב
I turned around	הִסְתּוֹבַבְתִּי
(he) turns around	מִסְתּוֹבֵב

get on the bus	לעלות על האוטובוס
get off the train	לרדת מהרכבת

stuff	דָּבָר
traffic light	רַמְזוֹר
square	כִּכָּר
corner	פִּנָּה
street	רְחוֹב
turn	פְּנִיָּה
right turn	פְּנִיָּה יָמִינָה
left turn	פְּנִיָּה שְׂמֹאלָה
intersection	צֹמֶת
sidewalk	מִדְרָכָה
course (route)	מַסְלוּל
stair/stairs	מַדְרֵגָה/מַדְרֵגוֹת
gas station	תַּחֲנַת דֶּלֶק
alley	סִמְטָה
roadway	כְּבִישׁ
pedestrian mall	מִדְרְחוֹב
parking	חֲנִיָּה
crosswalk	מַעֲבַר חֲצִיָּה

preposition	מִלַּת יַחַס
at the beginning of the street	בִּתְחִלַּת הרחוב [?]
at the end of the street	בסוף הרחוב

station	תַּחֲנָה
punching hole	נִקּוּב
wallet	אַרְנָק
excess	עֹדֶף
driver (person)	נַהָג
platform	רְצִיף
car (of a train)	קָרוֹן
origin	מוֹצָא
destination	יַעַד
departure	יְצִיאָה
arrival	הַגָּעָה
information	מֵידָע
transfer [trains]	הַחְלָפָה
detail	פְּרָט
additional	נוֹסָף

to charge	לְהַטְעִין
I charged	הִטְעַנְתִּי
(he) charges	מַטְעִין

to pierce	לְנַקֵּב
I pierced	נִקַּבְתִּי
(he) pierces	מְנַקֵּב

